,trn,tst,oot
0,0.9549918166939444,0.8049242424242424,0.4781144781144781
1,0.9649265905383361,0.7977099236641222,0.4882154882154882
2,0.9671592775041051,0.8270676691729323,0.4882154882154882
3,0.9514003294892917,0.8246268656716418,0.5117845117845118
4,0.9745901639344262,0.7679245283018868,0.494949494949495
5,0.9616013071895425,0.8060836501901141,0.5050505050505051
6,0.975609756097561,0.7961538461538461,0.5084175084175084
7,0.9532634971796938,0.8035363457760314,0.4983164983164983
8,0.9584352078239609,0.7934990439770554,0.5151515151515151
9,0.9560702875399361,0.8092369477911646,0.5218855218855218
