bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,597.0,3.0,594.0,0.5025125628140703,99.49748743718592,597.0,3.0,594.0,0.005134173055859803,47.44408945686901,47.43895528381315,0.005050505050505051,594000.0,90.0,593910.0
2.0,597.0,134.0,463.0,22.445561139028477,77.55443886097152,1194.0,137.0,1057.0,0.234460569550931,84.42492012779553,84.1904595582446,0.12961210974456008,1057000.0,4110.0,1052890.0
3.0,597.0,457.0,140.0,76.54941373534338,23.45058626465662,1791.0,594.0,1197.0,1.016566265060241,95.6070287539936,94.59046248893337,0.49624060150375937,1197000.0,17820.0,1179180.0
4.0,596.0,567.0,29.0,95.13422818791946,4.865771812080538,2387.0,1161.0,1226.0,1.9869249726177438,97.92332268370608,95.93639771108833,0.9469820554649266,1226000.0,34830.0,1191170.0
5.0,597.0,586.0,11.0,98.1574539363484,1.8425460636515965,2984.0,1747.0,1237.0,2.989800109529025,98.80191693290735,95.81211682337832,1.412287793047696,1237000.0,52410.0,1184590.0
6.0,597.0,595.0,2.0,99.66499162479062,0.33500837520938376,3581.0,2342.0,1239.0,4.0080777656078865,98.96166134185303,94.95358357624514,1.8902340597255851,1239000.0,70260.0,1168740.0
7.0,597.0,593.0,4.0,99.32998324958123,0.6700167504187675,4178.0,2935.0,1243.0,5.0229326396495075,99.28115015974441,94.2582175200949,2.3612228479485116,1243000.0,88050.0,1154950.0
8.0,597.0,595.0,2.0,99.66499162479062,0.33500837520938376,4775.0,3530.0,1245.0,6.041210295728368,99.4408945686901,93.39968427296174,2.8353413654618476,1245000.0,105900.0,1139100.0
9.0,597.0,597.0,0.0,100.0,0.0,5372.0,4127.0,1245.0,7.062910733844469,99.4408945686901,92.37798383484562,3.314859437751004,1245000.0,123810.0,1121190.0
10.0,596.0,594.0,2.0,99.66442953020135,0.3355704697986539,5968.0,4721.0,1247.0,8.07947699890471,99.60063897763578,91.52116197873107,3.78588612670409,1247000.0,141630.0,1105370.0
11.0,597.0,597.0,0.0,100.0,0.0,6565.0,5318.0,1247.0,9.10117743702081,99.60063897763578,90.49946154061497,4.264635124298316,1247000.0,159540.0,1087460.0
12.0,597.0,595.0,2.0,99.66499162479062,0.33500837520938376,7162.0,5913.0,1249.0,10.119455093099672,99.76038338658147,89.64092829348179,4.734187349879904,1249000.0,177390.0,1071610.0
13.0,597.0,596.0,1.0,99.83249581239531,0.16750418760469188,7759.0,6509.0,1250.0,11.139444140197153,99.84025559105432,88.70081145085716,5.2072,1250000.0,195270.0,1054730.0
14.0,597.0,596.0,1.0,99.83249581239531,0.16750418760469188,8356.0,7105.0,1251.0,12.159433187294633,99.92012779552715,87.76069460823251,5.679456434852118,1251000.0,213150.0,1037850.0
15.0,597.0,597.0,0.0,100.0,0.0,8953.0,7702.0,1251.0,13.181133625410734,99.92012779552715,86.73899417011641,6.156674660271783,1251000.0,231060.0,1019940.0
16.0,596.0,596.0,0.0,100.0,0.0,9549.0,8298.0,1251.0,14.201122672508214,99.92012779552715,85.71900512301893,6.633093525179856,1251000.0,248940.0,1002060.0
17.0,597.0,597.0,0.0,100.0,0.0,10146.0,8895.0,1251.0,15.222823110624315,99.92012779552715,84.69730468490283,7.110311750599521,1251000.0,266850.0,984150.0
18.0,597.0,597.0,0.0,100.0,0.0,10743.0,9492.0,1251.0,16.244523548740418,99.92012779552715,83.67560424678673,7.5875299760191846,1251000.0,284760.0,966240.0
19.0,597.0,597.0,0.0,100.0,0.0,11340.0,10089.0,1251.0,17.266223986856517,99.92012779552715,82.65390380867063,8.06474820143885,1251000.0,302670.0,948330.0
20.0,597.0,597.0,0.0,100.0,0.0,11937.0,10686.0,1251.0,18.28792442497262,99.92012779552715,81.63220337055454,8.541966426858513,1251000.0,320580.0,930420.0
21.0,597.0,597.0,0.0,100.0,0.0,12534.0,11283.0,1251.0,19.309624863088718,99.92012779552715,80.61050293243844,9.019184652278177,1251000.0,338490.0,912510.0
22.0,596.0,596.0,0.0,100.0,0.0,13130.0,11879.0,1251.0,20.3296139101862,99.92012779552715,79.59051388534095,9.49560351718625,1251000.0,356370.0,894630.0
23.0,597.0,597.0,0.0,100.0,0.0,13727.0,12476.0,1251.0,21.3513143483023,99.92012779552715,78.56881344722485,9.972821742605916,1251000.0,374280.0,876720.0
24.0,597.0,597.0,0.0,100.0,0.0,14324.0,13073.0,1251.0,22.373014786418402,99.92012779552715,77.54711300910876,10.45003996802558,1251000.0,392190.0,858810.0
25.0,597.0,597.0,0.0,100.0,0.0,14921.0,13670.0,1251.0,23.3947152245345,99.92012779552715,76.52541257099264,10.927258193445244,1251000.0,410100.0,840900.0
26.0,597.0,596.0,1.0,99.83249581239531,0.16750418760469188,15518.0,14266.0,1252.0,24.414704271631983,100.0,75.58529572836801,11.394568690095847,1252000.0,427980.0,824020.0
27.0,597.0,597.0,0.0,100.0,0.0,16115.0,14863.0,1252.0,25.436404709748082,100.0,74.56359529025193,11.871405750798722,1252000.0,445890.0,806110.0
28.0,597.0,597.0,0.0,100.0,0.0,16712.0,15460.0,1252.0,26.458105147864185,100.0,73.54189485213581,12.348242811501597,1252000.0,463800.0,788200.0
29.0,596.0,596.0,0.0,100.0,0.0,17308.0,16056.0,1252.0,27.478094194961663,100.0,72.52190580503833,12.824281150159745,1252000.0,481680.0,770320.0
30.0,597.0,597.0,0.0,100.0,0.0,17905.0,16653.0,1252.0,28.499794633077766,100.0,71.50020536692223,13.30111821086262,1252000.0,499590.0,752410.0
31.0,597.0,597.0,0.0,100.0,0.0,18502.0,17250.0,1252.0,29.521495071193865,100.0,70.47850492880613,13.777955271565496,1252000.0,517500.0,734500.0
32.0,597.0,597.0,0.0,100.0,0.0,19099.0,17847.0,1252.0,30.543195509309967,100.0,69.45680449069003,14.254792332268371,1252000.0,535410.0,716590.0
33.0,597.0,597.0,0.0,100.0,0.0,19696.0,18444.0,1252.0,31.564895947426066,100.0,68.43510405257393,14.731629392971247,1252000.0,553320.0,698680.0
34.0,597.0,597.0,0.0,100.0,0.0,20293.0,19041.0,1252.0,32.586596385542165,100.0,67.41340361445783,15.208466453674122,1252000.0,571230.0,680770.0
35.0,596.0,596.0,0.0,100.0,0.0,20889.0,19637.0,1252.0,33.60658543263965,100.0,66.39341456736035,15.684504792332268,1252000.0,589110.0,662890.0
36.0,597.0,597.0,0.0,100.0,0.0,21486.0,20234.0,1252.0,34.628285870755754,100.0,65.37171412924425,16.161341853035143,1252000.0,607020.0,644980.0
37.0,597.0,597.0,0.0,100.0,0.0,22083.0,20831.0,1252.0,35.64998630887185,100.0,64.35001369112814,16.63817891373802,1252000.0,624930.0,627070.0
38.0,597.0,597.0,0.0,100.0,0.0,22680.0,21428.0,1252.0,36.67168674698795,100.0,63.32831325301205,17.115015974440894,1252000.0,642840.0,609160.0
39.0,597.0,597.0,0.0,100.0,0.0,23277.0,22025.0,1252.0,37.69338718510405,100.0,62.30661281489595,17.59185303514377,1252000.0,660750.0,591250.0
40.0,597.0,597.0,0.0,100.0,0.0,23874.0,22622.0,1252.0,38.71508762322016,100.0,61.28491237677984,18.068690095846645,1252000.0,678660.0,573340.0
41.0,596.0,596.0,0.0,100.0,0.0,24470.0,23218.0,1252.0,39.73507667031763,100.0,60.26492332968237,18.544728434504794,1252000.0,696540.0,555460.0
42.0,597.0,597.0,0.0,100.0,0.0,25067.0,23815.0,1252.0,40.75677710843374,100.0,59.24322289156626,19.021565495207668,1252000.0,714450.0,537550.0
43.0,597.0,597.0,0.0,100.0,0.0,25664.0,24412.0,1252.0,41.77847754654984,100.0,58.22152245345016,19.498402555910545,1252000.0,732360.0,519640.0
44.0,597.0,597.0,0.0,100.0,0.0,26261.0,25009.0,1252.0,42.800177984665936,100.0,57.199822015334064,19.97523961661342,1252000.0,750270.0,501730.0
45.0,597.0,597.0,0.0,100.0,0.0,26858.0,25606.0,1252.0,43.821878422782035,100.0,56.178121577217965,20.452076677316295,1252000.0,768180.0,483820.0
46.0,597.0,597.0,0.0,100.0,0.0,27455.0,26203.0,1252.0,44.84357886089814,100.0,55.15642113910186,20.92891373801917,1252000.0,786090.0,465910.0
47.0,596.0,596.0,0.0,100.0,0.0,28051.0,26799.0,1252.0,45.863567907995616,100.0,54.136432092004384,21.404952076677315,1252000.0,803970.0,448030.0
48.0,597.0,597.0,0.0,100.0,0.0,28648.0,27396.0,1252.0,46.88526834611172,100.0,53.11473165388828,21.881789137380192,1252000.0,821880.0,430120.0
49.0,597.0,597.0,0.0,100.0,0.0,29245.0,27993.0,1252.0,47.90696878422782,100.0,52.09303121577218,22.358626198083066,1252000.0,839790.0,412210.0
50.0,597.0,597.0,0.0,100.0,0.0,29842.0,28590.0,1252.0,48.92866922234392,100.0,51.07133077765608,22.835463258785943,1252000.0,857700.0,394300.0
51.0,597.0,597.0,0.0,100.0,0.0,30439.0,29187.0,1252.0,49.95036966046002,100.0,50.04963033953998,23.312300319488816,1252000.0,875610.0,376390.0
52.0,597.0,597.0,0.0,100.0,0.0,31036.0,29784.0,1252.0,50.972070098576125,100.0,49.027929901423875,23.789137380191693,1252000.0,893520.0,358480.0
53.0,597.0,597.0,0.0,100.0,0.0,31633.0,30381.0,1252.0,51.993770536692224,100.0,48.006229463307776,24.265974440894567,1252000.0,911430.0,340570.0
54.0,596.0,596.0,0.0,100.0,0.0,32229.0,30977.0,1252.0,53.01375958378971,100.0,46.98624041621029,24.742012779552716,1252000.0,929310.0,322690.0
55.0,597.0,597.0,0.0,100.0,0.0,32826.0,31574.0,1252.0,54.035460021905806,100.0,45.964539978094194,25.21884984025559,1252000.0,947220.0,304780.0
56.0,597.0,597.0,0.0,100.0,0.0,33423.0,32171.0,1252.0,55.057160460021905,100.0,44.942839539978095,25.695686900958467,1252000.0,965130.0,286870.0
57.0,597.0,597.0,0.0,100.0,0.0,34020.0,32768.0,1252.0,56.078860898138004,100.0,43.921139101861996,26.17252396166134,1252000.0,983040.0,268960.0
58.0,597.0,597.0,0.0,100.0,0.0,34617.0,33365.0,1252.0,57.10056133625411,100.0,42.89943866374589,26.649361022364218,1252000.0,1000950.0,251050.0
59.0,597.0,597.0,0.0,100.0,0.0,35214.0,33962.0,1252.0,58.12226177437021,100.0,41.87773822562979,27.12619808306709,1252000.0,1018860.0,233140.0
60.0,596.0,596.0,0.0,100.0,0.0,35810.0,34558.0,1252.0,59.14225082146769,100.0,40.85774917853231,27.60223642172524,1252000.0,1036740.0,215260.0
61.0,597.0,597.0,0.0,100.0,0.0,36407.0,35155.0,1252.0,60.16395125958379,100.0,39.83604874041621,28.079073482428115,1252000.0,1054650.0,197350.0
62.0,597.0,597.0,0.0,100.0,0.0,37004.0,35752.0,1252.0,61.18565169769989,100.0,38.81434830230011,28.55591054313099,1252000.0,1072560.0,179440.0
63.0,597.0,597.0,0.0,100.0,0.0,37601.0,36349.0,1252.0,62.20735213581599,100.0,37.79264786418401,29.032747603833865,1252000.0,1090470.0,161530.0
64.0,597.0,597.0,0.0,100.0,0.0,38198.0,36946.0,1252.0,63.229052573932094,100.0,36.770947426067906,29.509584664536742,1252000.0,1108380.0,143620.0
65.0,597.0,597.0,0.0,100.0,0.0,38795.0,37543.0,1252.0,64.2507530120482,100.0,35.74924698795181,29.986421725239616,1252000.0,1126290.0,125710.0
66.0,596.0,596.0,0.0,100.0,0.0,39391.0,38139.0,1252.0,65.27074205914568,100.0,34.729257940854325,30.462460063897762,1252000.0,1144170.0,107830.0
67.0,597.0,597.0,0.0,100.0,0.0,39988.0,38736.0,1252.0,66.29244249726177,100.0,33.707557502738226,30.93929712460064,1252000.0,1162080.0,89920.0
68.0,597.0,597.0,0.0,100.0,0.0,40585.0,39333.0,1252.0,67.31414293537787,100.0,32.68585706462213,31.416134185303516,1252000.0,1179990.0,72010.0
