,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11935.0,297.0,0.0,0.9757194244604317,0.024280575539568347,0.0,,0.0,1.0,,
1,1.0,122.0,27.0,95.0,22.131147540983605,77.8688524590164,122.0,27.0,95.0,0.22622538751571009,31.986531986531986,31.760306599016275,0.28421052631578947,95.0,11908.0,202.0,27.0,0.981278613472858,0.018721386527141923,0.002262253875157101,0.28421052631578947,0.31986531986531985,0.9977377461248429,0.7786885245901639,0.4534606205250597
2,2.0,123.0,88.0,35.0,71.54471544715447,28.455284552845526,245.0,115.0,130.0,0.9635525764558023,43.77104377104377,42.80749119458797,0.8846153846153846,130.0,11820.0,167.0,115.0,0.9769457161543492,0.023054283845650753,0.009635525764558023,0.8846153846153846,0.4377104377104377,0.9903644742354419,0.5306122448979592,0.4797047970479705
3,3.0,122.0,97.0,25.0,79.50819672131148,20.491803278688522,367.0,212.0,155.0,1.7762882279011312,52.18855218855219,50.41226396065105,1.367741935483871,155.0,11723.0,142.0,212.0,0.9710595160235448,0.0289404839764552,0.01776288227901131,1.367741935483871,0.5218855218855218,0.9822371177209887,0.4223433242506812,0.46686746987951805
4,4.0,122.0,116.0,6.0,95.08196721311475,4.918032786885249,489.0,328.0,161.0,2.7482195224130708,54.20875420875421,51.460534686341134,2.0372670807453415,161.0,11607.0,136.0,328.0,0.9620667102681492,0.03793328973185088,0.027482195224130708,2.0372670807453415,0.5420875420875421,0.9725178047758692,0.3292433537832311,0.40966921119592875
5,5.0,123.0,114.0,9.0,92.6829268292683,7.317073170731703,612.0,442.0,170.0,3.7033933808127357,57.23905723905724,53.535663858244504,2.6,170.0,11493.0,127.0,442.0,0.9534826684107259,0.046517331589274034,0.037033933808127355,2.6,0.5723905723905723,0.9629660661918726,0.2777777777777778,0.37403740374037403
6,6.0,122.0,108.0,14.0,88.52459016393442,11.47540983606558,734.0,550.0,184.0,4.608294930875576,61.95286195286195,57.34456702198638,2.989130434782609,184.0,11385.0,113.0,550.0,0.9457979071288424,0.05420209287115762,0.04608294930875576,2.989130434782609,0.6195286195286195,0.9539170506912442,0.2506811989100817,0.3569350145489815
7,7.0,122.0,101.0,21.0,82.78688524590164,17.213114754098356,856.0,651.0,205.0,5.454545454545454,69.02356902356902,63.56902356902357,3.175609756097561,205.0,11284.0,92.0,651.0,0.9392576847612819,0.06074231523871812,0.05454545454545454,3.175609756097561,0.6902356902356902,0.9454545454545454,0.23948598130841123,0.3555941023417173
8,8.0,123.0,116.0,7.0,94.3089430894309,5.6910569105691025,979.0,767.0,212.0,6.426476749057394,71.38047138047138,64.95399463141398,3.6179245283018866,212.0,11168.0,85.0,767.0,0.9303466317854807,0.0696533682145193,0.06426476749057394,3.6179245283018866,0.7138047138047138,0.935735232509426,0.21654749744637386,0.3322884012539185
9,9.0,122.0,114.0,8.0,93.44262295081967,6.557377049180332,1101.0,881.0,220.0,7.381650607457059,74.07407407407408,66.69242346661702,4.004545454545455,220.0,11054.0,77.0,881.0,0.921680837148463,0.07831916285153695,0.07381650607457059,4.004545454545455,0.7407407407407407,0.9261834939254294,0.19981834695731154,0.3147353361945636
10,10.0,122.0,115.0,7.0,94.26229508196721,5.73770491803279,1223.0,996.0,227.0,8.345203183912862,76.43097643097643,68.08577324706357,4.387665198237886,227.0,10939.0,70.0,996.0,0.9128515369522564,0.08714846304774362,0.08345203183912861,4.387665198237886,0.7643097643097643,0.9165479681608714,0.1856091578086672,0.29868421052631583
11,11.0,123.0,115.0,8.0,93.4959349593496,6.504065040650403,1346.0,1111.0,235.0,9.308755760368664,79.12457912457913,69.81582336421046,4.727659574468085,235.0,10824.0,62.0,1111.0,0.9041039895356442,0.0958960104643558,0.09308755760368663,4.727659574468085,0.7912457912457912,0.9069124423963134,0.17459138187221396,0.28606208155812535
12,12.0,122.0,112.0,10.0,91.80327868852459,8.196721311475414,1468.0,1223.0,245.0,10.247172182656053,82.49158249158249,72.24441030892643,4.9918367346938775,245.0,10712.0,52.0,1223.0,0.8957652060170046,0.10423479398299543,0.10247172182656053,4.9918367346938775,0.8249158249158249,0.8975282781734395,0.16689373297002724,0.2776203966005666
13,13.0,122.0,116.0,6.0,95.08196721311475,4.918032786885249,1590.0,1339.0,251.0,11.219103477167993,84.51178451178451,73.29268103461652,5.334661354581673,251.0,10596.0,46.0,1339.0,0.8867724002616089,0.11322759973839111,0.11219103477167994,5.334661354581673,0.8451178451178452,0.8878089652283201,0.15786163522012578,0.2660307366189719
14,14.0,122.0,118.0,4.0,96.72131147540983,3.278688524590166,1712.0,1457.0,255.0,12.207792207792208,85.85858585858585,73.65079365079364,5.713725490196079,255.0,10478.0,42.0,1457.0,0.8774525833878352,0.12254741661216481,0.12207792207792208,5.713725490196079,0.8585858585858586,0.8779220779220779,0.14894859813084113,0.2538576406172225
15,15.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,1835.0,1579.0,256.0,13.229995810640972,86.1952861952862,72.96529038464523,6.16796875,256.0,10356.0,41.0,1579.0,0.8675604970569,0.13243950294310006,0.1322999581064097,6.16796875,0.8619528619528619,0.8677000418935903,0.13950953678474115,0.24015009380863042
16,16.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,1957.0,1699.0,258.0,14.23544197737746,86.86868686868686,72.6332448913094,6.5852713178294575,258.0,10236.0,39.0,1699.0,0.8579136690647482,0.1420863309352518,0.1423544197737746,6.5852713178294575,0.8686868686868687,0.8576455802262254,0.1318344404701073,0.22892635314995566
17,17.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,2079.0,1819.0,260.0,15.240888144113951,87.54208754208754,72.30119939797359,6.996153846153846,260.0,10116.0,37.0,1819.0,0.8482668410725964,0.15173315892740352,0.1524088814411395,6.996153846153846,0.8754208754208754,0.8475911185588605,0.12506012506012507,0.21885521885521886
