iter	Passed	Remaining
881	4578	612
882	4583	607
883	4588	602
884	4593	596
885	4598	591
886	4603	586
887	4607	581
888	4612	575
889	4617	570
890	4622	565
891	4627	560
892	4632	555
893	4637	549
894	4642	544
895	4646	539
896	4652	534
897	4657	528
898	4661	523
899	4666	518
900	4671	513
901	4676	508
902	4681	502
903	4685	497
904	4690	492
905	4695	487
906	4701	482
907	4706	476
908	4711	471
909	4716	466
910	4720	461
911	4725	455
912	4730	450
913	4734	445
914	4739	440
915	4743	434
916	4748	429
917	4752	424
918	4757	419
919	4761	414
920	4765	408
921	4770	403
922	4775	398
923	4780	393
924	4785	388
925	4790	382
926	4795	377
927	4800	372
928	4805	367
929	4810	362
930	4815	356
931	4820	351
932	4825	346
933	4830	341
934	4835	336
935	4840	330
936	4845	325
937	4850	320
938	4855	315
939	4860	310
940	4865	305
941	4870	299
942	4874	294
943	4879	289
944	4884	284
945	4889	279
946	4894	273
947	4899	268
948	4904	263
949	4909	258
950	4914	253
951	4921	248
952	4926	242
953	4931	237
954	4937	232
955	4943	227
956	4949	222
957	4959	217
958	4966	212
959	4971	207
960	4983	202
961	4988	197
962	4993	191
963	4997	186
964	5002	181
965	5007	176
966	5012	171
967	5017	165
968	5022	160
969	5027	155
970	5032	150
971	5037	145
972	5042	139
973	5046	134
974	5051	129
975	5056	124
976	5061	119
977	5067	113
978	5072	108
979	5077	103
980	5082	98
981	5087	93
982	5091	88
983	5096	82
984	5101	77
985	5105	72
986	5111	67
987	5115	62
988	5120	56
989	5125	51
990	5130	46
991	5135	41
992	5140	36
993	5145	31
994	5149	25
995	5154	20
996	5159	15
997	5164	10
998	5169	5
999	5174	0
